employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,Age_Group,Experience_Level,Training_Category,KPI_Status,Award_Status,Performance_Category
8724,Technology,region_26,Bachelors,m,sourcing,1,24,,1,1,0,77,21-30,Beginner,Good,Achieved,No Award,
74430,HR,region_4,Bachelors,f,other,1,31,3.0,5,0,0,51,31-40,Beginner,Average,Not Achieved,No Award,Average
72255,Sales & Marketing,region_13,Bachelors,m,other,1,31,1.0,4,0,0,47,31-40,Beginner,Low,Not Achieved,No Award,Poor
38562,Procurement,region_2,Bachelors,f,other,3,31,2.0,9,0,0,65,31-40,Intermediate,Average,Not Achieved,No Award,Poor
64486,Finance,region_29,Bachelors,m,sourcing,1,30,4.0,7,0,0,61,21-30,Intermediate,Average,Not Achieved,No Award,Good
46232,Procurement,region_7,Bachelors,m,sourcing,1,36,3.0,2,0,0,68,31-40,Beginner,Average,Not Achieved,No Award,Average
54542,Finance,region_2,Bachelors,m,other,1,33,5.0,3,1,0,57,31-40,Beginner,Average,Achieved,No Award,Excellent
67269,Analytics,region_22,Bachelors,m,sourcing,2,36,3.0,3,0,0,85,31-40,Beginner,Good,Not Achieved,No Award,Average
66174,Technology,region_7,Masters & above,m,other,1,51,4.0,11,0,0,75,51-60,Experienced,Good,Not Achieved,No Award,Good
76303,Technology,region_22,Bachelors,m,sourcing,1,29,5.0,2,1,0,76,21-30,Beginner,Good,Achieved,No Award,Excellent
60245,Sales & Marketing,region_16,Bachelors,m,sourcing,2,40,5.0,12,1,0,50,31-40,Experienced,Low,Achieved,No Award,Excellent
42639,Sales & Marketing,region_17,Masters & above,m,sourcing,1,40,3.0,10,0,0,46,31-40,Intermediate,Low,Not Achieved,No Award,Average
30963,Sales & Marketing,region_4,Masters & above,f,other,1,34,3.0,4,0,0,52,31-40,Beginner,Average,Not Achieved,No Award,Average
54055,Analytics,region_24,Bachelors,m,other,1,37,3.0,10,0,0,82,31-40,Intermediate,Good,Not Achieved,No Award,Average
42996,Operations,region_11,Bachelors,m,sourcing,1,30,5.0,6,1,0,58,21-30,Intermediate,Average,Achieved,No Award,Excellent
12737,Sales & Marketing,region_7,Bachelors,m,sourcing,1,31,4.0,4,1,0,47,31-40,Beginner,Low,Achieved,No Award,Good
27561,Operations,region_27,Bachelors,f,sourcing,1,26,5.0,3,0,0,56,21-30,Beginner,Average,Not Achieved,No Award,Excellent
26622,Sales & Marketing,region_17,Bachelors,m,sourcing,1,40,5.0,6,1,0,50,31-40,Intermediate,Low,Achieved,No Award,Excellent
31582,Procurement,region_7,Bachelors,f,other,1,49,3.0,7,1,0,64,41-50,Intermediate,Average,Achieved,No Award,Average
29793,Procurement,region_27,Bachelors,m,other,1,27,2.0,5,0,0,65,21-30,Beginner,Average,Not Achieved,No Award,Poor
72735,Sales & Marketing,region_9,Masters & above,m,sourcing,1,37,5.0,3,0,0,47,31-40,Beginner,Low,Not Achieved,No Award,Excellent
5677,Technology,region_17,Bachelors,m,sourcing,1,25,,1,0,0,80,21-30,Beginner,Good,Not Achieved,No Award,
60889,Technology,region_29,Masters & above,m,sourcing,1,30,1.0,3,0,0,83,21-30,Beginner,Good,Not Achieved,No Award,Poor
51498,Procurement,region_4,Masters & above,m,other,1,41,3.0,4,0,0,76,41-50,Beginner,Good,Not Achieved,No Award,Average
8566,Finance,region_20,Bachelors,f,other,1,29,4.0,6,1,0,58,21-30,Intermediate,Average,Achieved,No Award,Good
53151,Operations,region_20,Bachelors,m,other,1,33,3.0,7,1,1,62,31-40,Intermediate,Average,Achieved,Award Won,Average
16203,Sales & Marketing,region_17,Masters & above,m,sourcing,1,34,4.0,6,1,0,50,31-40,Intermediate,Low,Achieved,No Award,Good
61083,Analytics,region_13,Bachelors,m,sourcing,1,34,3.0,3,1,0,87,31-40,Beginner,Excellent,Achieved,No Award,Average
74849,Operations,region_22,Bachelors,m,other,1,52,1.0,10,0,0,61,51-60,Intermediate,Average,Not Achieved,No Award,Poor
13259,Sales & Marketing,region_34,Bachelors,m,sourcing,1,30,2.0,3,0,0,50,21-30,Beginner,Low,Not Achieved,No Award,Poor
72407,Analytics,region_2,Masters & above,m,sourcing,2,34,4.0,7,0,0,87,31-40,Intermediate,Excellent,Not Achieved,No Award,Good
65237,Sales & Marketing,region_2,Bachelors,m,sourcing,2,43,1.0,14,0,0,52,41-50,Experienced,Average,Not Achieved,No Award,Poor
67672,Technology,region_17,Bachelors,m,other,1,29,,1,1,0,85,21-30,Beginner,Good,Achieved,No Award,
77460,Sales & Marketing,region_2,Bachelors,f,sourcing,1,35,3.0,3,1,0,52,31-40,Beginner,Average,Achieved,No Award,Average
67317,Technology,region_22,Masters & above,m,other,4,40,3.0,12,0,0,77,31-40,Experienced,Good,Not Achieved,No Award,Average
68788,Technology,region_23,Bachelors,m,sourcing,2,33,4.0,9,0,0,83,31-40,Intermediate,Good,Not Achieved,No Award,Good
36834,Sales & Marketing,region_8,Masters & above,m,other,1,30,3.0,2,1,0,55,21-30,Beginner,Average,Achieved,No Award,Average
64281,Sales & Marketing,region_14,Bachelors,f,sourcing,2,42,1.0,3,1,0,46,41-50,Beginner,Low,Achieved,No Award,Poor
